;2018;;;2019;;2020;;;Total general
;SEXO;;;;;;;;
MUNICIPIO  EDAD;Hombre;Mujer;Indete.;Hombre;Mujer;Hombre;Mujer;Indete.;
AGUADAS;;;;;;;;;
48;;;;;;;1;;1
49;1;;;1;;;;;2
52;;;;1;;;;;1
53;;;;1;;;1;;2
54;;;;;1;;;;1
56;1;;;1;;;;;2
57;;1;;;;;;;1
58;1;;;;;;;;1
61;2;;;1;1;;;;4
62;1;;;;1;2;;;4
63;1;;;;;;;;1
64;;;;1;;1;1;;3
65;1;1;;4;;;;;6
66;;1;;;;;;;1
67;1;1;;;1;;;;3
68;;1;;;;2;1;;4
69;;;;1;;2;;;3
70;1;1;;;;1;;;3
71;;1;;2;1;;;;4
72;1;1;;;;2;1;;5
73;1;2;;1;;;;;4
74;2;2;;1;;2;;;7
75;1;1;;;;1;1;;4
76;;;;2;1;2;1;;6
77;1;;;;;;;;1
78;;;;;2;1;;;3
79;1;1;;;1;;;;3
80;1;2;;;1;2;;;6
81;;;;1;1;2;;;4
82;1;1;;3;;1;;;6
83;;1;;;;2;;;3
84;;1;;;2;1;;;4
85;2;2;;;;;4;;8
86;1;;;;1;1;2;;5
87;3;;;2;;1;;;6
88;;1;;1;1;;1;;4
89;;;;1;;1;;;2
90;1;1;;1;1;2;;;6
91;1;1;;1;;1;1;;5
92;1;;;;1;2;;;4
93;;;;2;1;1;1;;5
94;;1;;1;;2;;;4
95;2;1;;;;;;;3
97;;;;;1;;;;1
98;1;;;;1;;1;;3
99;;;;;;1;;;1
MARULANDA;;;;;;;;;
10;;;;1;;;;;1
19;;;;1;;;;;1
27;;;;1;;;;;1
28;;;;1;1;;;;2
30;;;;1;;;;;1
40;1;;;;;;;;1
44;1;;;;;;;;1
45;1;;;;;;;;1
54;1;;;;;;;;1
61;1;;;;;1;;;2
66;1;;;;;;;;1
72;;1;;;;;;;1
75;;1;;;;;;;1
78;;1;;;;;;;1
79;;;;1;;;;;1
84;;;;1;;;;;1
85;;1;;;;;;;1
87;;;;;1;;;;1
93;;1;;;;;1;;2
94;;;;;1;;;;1
NEIRA;;;;;;;;;
< 1año;;;;;;;1;;1
2;1;;;;;;;;1
8;;;;;;1;;;1
15;;;;;;2;;;2
17;;;;;;1;;;1
18;2;;;;;;;;2
19;;1;;;;;;;1
20;1;;;;;;;;1
22;;;;1;;;;;1
23;;;;;;1;;;1
24;1;;;1;;1;;;3
25;;;;1;;1;;;2
26;1;;;1;;;;;2
28;1;;;;;;;;1
30;1;;;;;1;;;2
31;1;;;;;;;;1
32;1;;;;;1;;;2
34;;;;;;1;;;1
35;;;;1;;1;;;2
36;1;;;1;;1;;;3
37;1;;;1;;1;;;3
38;;;;1;;;;;1
39;;;;;;1;;;1
40;;;;;;2;;;2
43;1;;;;;;;;1
44;;;;;;1;;;1
47;;;;;1;1;;;2
48;;1;;1;1;1;;;4
49;;;;;;1;1;;2
50;;;;;;1;1;;2
51;1;1;;;1;3;;;6
52;1;;;;;;;;1
53;;1;;;;2;;;3
